SourceIP	DestinationIP	Protocol
HewlettP_c1:13:50	Broadcast	ARP
192.168.50.243	192.168.55.255	NBNS
fe80::c422:e8cd:87a0:62ca	ff02::1:ff1a:31a5	ICMPv6
192.168.49.85	192.168.55.255	NBNS
HewlettP_c1:13:50	Broadcast	ARP
HewlettP_c1:13:50	Broadcast	ARP
192.168.0.1	224.0.0.1	IGMPv2
192.168.0.1	224.0.0.1	IGMPv2
192.168.49.90	192.168.55.255	NBNS
192.168.51.219	239.255.255.250	IGMPv2
192.168.51.118	224.0.0.251	IGMPv2
HewlettP_c1:13:50	Broadcast	ARP
192.168.50.165	224.0.0.252	IGMPv2
192.168.51.219	239.255.255.250	SSDP
192.168.49.85	192.168.55.255	NBNS
ZyxelCom_6f:1d:e7	Broadcast	0x8899
192.168.50.165	239.255.255.250	SSDP
192.168.50.243	192.168.55.255	NBNS
fe80::6de4:c95f:527e:7e48	ff02::1:ff0f:d937	ICMPv6
fe80::c422:e8cd:87a0:62ca	ff02::1:ff1a:31a5	ICMPv6
192.168.49.90	224.0.0.252	LLMNR
192.168.49.90	224.0.0.252	LLMNR
192.168.50.243	192.168.55.255	NBNS
192.168.49.78	192.168.55.255	UDP
192.168.49.80	239.255.255.250	SSDP
192.168.49.90	192.168.55.255	NBNS
192.168.49.85	192.168.55.255	NBNS
192.168.50.243	192.168.55.255	NBNS
192.168.49.152	239.255.255.250	SSDP
192.168.55.20	224.0.1.60	IGMPv2
Alcatel-_f2:c5:88	Broadcast	ARP
HewlettP_46:6d:36	Broadcast	ARP
192.168.51.219	239.255.255.250	SSDP
fe80::6de4:c95f:527e:7e48	ff02::1:ff0f:d937	ICMPv6
fe80::15c4:15fd:316b:b096	ff02::1:3	LLMNR
192.168.50.203	224.0.0.252	LLMNR
192.168.49.90	192.168.55.255	NBNS
192.168.50.243	192.168.55.255	NBNS
192.168.50.203	192.168.55.255	NBNS
HewlettP_46:6d:36	Broadcast	ARP
192.168.49.152	239.255.255.250	SSDP
192.168.50.206	239.255.255.250	SSDP
192.168.51.219	239.255.255.250	SSDP
ZyxelCom_6f:1d:e7	Broadcast	0x8899
192.168.50.17	224.0.0.252	LLMNR
192.168.49.90	192.168.55.255	NBNS
192.168.50.243	192.168.55.255	NBNS
192.168.50.203	192.168.55.255	NBNS
192.168.49.101	255.255.255.255	UDP
HewlettP_46:6d:36	Broadcast	ARP
192.168.49.152	239.255.255.250	SSDP
192.168.49.90	224.0.0.252	LLMNR
192.168.51.219	239.255.255.250	SSDP
192.168.50.243	192.168.55.255	NBNS
192.168.50.203	192.168.55.255	NBNS
192.168.49.90	192.168.55.255	NBNS
192.168.49.90	224.0.0.252	LLMNR
192.168.49.90	192.168.55.255	NBNS
192.168.50.165	192.168.55.255	BROWSER
HewlettP_c1:13:50	Broadcast	ARP
HewlettP_c1:13:50	Broadcast	ARP
192.168.49.80	239.255.255.250	SSDP
192.168.53.76	239.255.255.250	IGMPv2
192.168.49.152	239.255.255.250	SSDP
192.168.50.243	192.168.55.255	NBNS
fe80::15c4:15fd:316b:b096	ff02::1:3	LLMNR
192.168.50.206	239.255.255.250	SSDP
192.168.50.203	224.0.0.252	LLMNR
fe80::15c4:15fd:316b:b096	ff02::1:3	LLMNR
192.168.50.203	224.0.0.252	LLMNR
ZyxelCom_6f:1d:e7	Broadcast	0x8899
192.168.49.74	192.168.55.255	NBNS
fe80::c422:e8cd:87a0:62ca	ff02::1:ff1a:31a5	ICMPv6
HewlettP_c1:13:50	Broadcast	ARP
HewlettP_c1:13:50	Broadcast	ARP
192.168.49.90	224.0.0.252	LLMNR
192.168.50.203	192.168.55.255	NBNS
192.168.50.165	239.255.255.250	SSDP
fe80::c422:e8cd:87a0:62ca	ff02::1:ff1a:31a5	ICMPv6
ZyxelCom_6f:1d:e7	Broadcast	0x8899
192.168.49.90	192.168.55.255	NBNS
192.168.50.209	239.255.255.250	SSDP
192.168.50.243	192.168.55.255	NBNS
192.168.53.76	239.255.255.250	SSDP
192.168.49.90	192.168.55.255	NBNS
192.168.50.250	224.0.0.253	IGMPv2
192.168.50.243	192.168.55.255	NBNS
192.168.50.209	239.255.255.250	SSDP
fe80::6de4:c95f:527e:7e48	ff02::1:ff0f:d937	ICMPv6
		
192.168.49.90	224.0.0.252	LLMNR
HewlettP_46:6d:36	Broadcast	ARP
fe80::20af:2c66:9a64:10e1	ff02::1:3	LLMNR
192.168.49.133	239.255.255.250	SSDP
192.168.49.90	224.0.0.252	LLMNR
192.168.49.85	192.168.55.255	NBNS
192.168.49.90	224.0.0.252	LLMNR
192.168.49.90	192.168.55.255	NBNS
192.168.50.243	192.168.55.255	NBNS
192.168.49.74	192.168.55.255	NBNS
HewlettP_46:6d:36	Broadcast	ARP
ZyxelCom_6f:1d:e7	Broadcast	0x8899
104.19.196.151	192.168.51.186	TCP
fe80::15c4:15fd:316b:b096	ff02::1:ff1a:31a5	ICMPv6
192.168.49.133	239.255.255.250	SSDP
fe80::15c4:15fd:316b:b096	ff02::1:ff1a:31a5	ICMPv6
192.168.49.90	192.168.55.255	NBNS
192.168.50.243	192.168.55.255	NBNS
192.168.49.74	192.168.55.255	NBNS
HewlettP_46:6d:36	Broadcast	ARP
fda8:6c3:ce53:a890::9	ff02::1:ff00:1	ICMPv6
192.168.49.90	192.168.55.255	NBNS
HewlettP_46:6e:21	Broadcast	ARP
104.19.196.151	192.168.51.186	TCP
104.19.196.151	192.168.51.186	TCP
192.168.49.90	192.168.55.255	NBNS
104.19.196.151	192.168.51.186	TCP
fda8:6c3:ce53:a890::9	ff02::1:ff00:1	ICMPv6
ZyxelCom_6f:1d:e7	Broadcast	0x8899
Alcatel-_f2:c5:88	Broadcast	ARP
192.168.50.243	192.168.55.255	NBNS
HewlettP_46:6e:21	Broadcast	ARP
HewlettP_46:6d:36	Broadcast	ARP
ZyxelCom_6f:1d:e7	Broadcast	0x8899
192.168.49.90	224.0.0.252	LLMNR
104.19.196.151	192.168.51.186	TCP
192.168.49.90	224.0.0.252	LLMNR
192.168.50.243	192.168.55.255	NBNS
192.168.49.90	192.168.55.255	NBNS
192.168.49.82	239.255.255.250	SSDP
192.168.49.62	255.255.255.255	DB-LSP-DISC
192.168.49.62	255.255.255.255	DB-LSP-DISC
192.168.49.62	192.168.55.255	DB-LSP-DISC
192.168.49.62	255.255.255.255	DB-LSP-DISC
192.168.49.62	255.255.255.255	DB-LSP-DISC
192.168.49.62	255.255.255.255	DB-LSP-DISC
HewlettP_46:6d:36	Broadcast	ARP
fda8:6c3:ce53:a890::9	ff02::1:ff00:1	ICMPv6
104.17.96.190	192.168.51.186	TCP
Universa_38:d5:38	Broadcast	ARP
192.168.49.90	192.168.55.255	NBNS
Universa_38:d5:38	Broadcast	ARP
104.17.96.190	192.168.51.186	TCP
104.17.96.190	192.168.51.186	TCP
HewlettP_46:6e:21	Broadcast	ARP
fe80::5193:63ba:40b:594e	ff02::1:2	DHCPv6
192.168.50.243	192.168.55.255	NBNS
192.168.49.90	192.168.55.255	NBNS
192.168.49.84	192.168.55.255	NBNS
fe80::80b4:dc7d:8536:3cf6	ff02::1:3	LLMNR
192.168.49.84	224.0.0.252	LLMNR
Dell_de:f6:4a	Broadcast	ARP
104.17.96.190	192.168.51.186	TCP
Universa_38:d5:38	Broadcast	ARP
Universa_38:d5:38	Broadcast	ARP
HewlettP_46:6d:36	Broadcast	ARP
fe80::80b4:dc7d:8536:3cf6	ff02::1:3	LLMNR
192.168.49.84	224.0.0.252	LLMNR
HewlettP_46:6e:21	Broadcast	ARP
ZyxelCom_6f:1d:e7	Broadcast	0x8899
104.19.196.151	192.168.51.186	TCP
192.168.50.243	192.168.55.255	NBNS
192.168.50.91	192.168.55.255	BROWSER
192.168.49.90	192.168.55.255	NBNS
192.168.49.84	192.168.55.255	NBNS
fe80::18a:f265:e246:c4b4	ff02::1:3	LLMNR
192.168.49.74	224.0.0.252	LLMNR
fe80::18a:f265:e246:c4b4	ff02::1:3	LLMNR
192.168.49.74	224.0.0.252	LLMNR
104.17.96.190	192.168.51.186	TCP
192.168.49.74	192.168.55.255	NBNS
fe80::20af:2c66:9a64:10e1	ff02::1:3	LLMNR
fe80::20af:2c66:9a64:10e1	ff02::1:3	LLMNR
HewlettP_46:6e:21	Broadcast	ARP
Universa_38:d5:38	Broadcast	ARP
Universa_38:d5:38	Broadcast	ARP
HewlettP_46:6e:21	Broadcast	ARP
192.168.50.243	192.168.55.255	NBNS
192.168.49.84	192.168.55.255	NBNS
192.168.49.90	224.0.0.252	LLMNR
192.168.49.90	192.168.55.255	NBNS
192.168.49.133	239.255.255.250	SSDP
192.168.49.74	192.168.55.255	NBNS
192.168.50.243	192.168.55.255	NBNS
192.168.50.243	192.168.55.255	NBNS
HonHaiPr_ca:2d:46	Broadcast	ARP
fe80::c422:e8cd:87a0:62ca	ff02::1:ff1a:31a5	ICMPv6
ZyxelCom_6f:1d:e7	Broadcast	0x8899
192.168.49.90	192.168.55.255	NBNS
192.168.49.85	192.168.55.255	NBNS
192.168.49.74	192.168.55.255	NBNS
104.17.96.190	192.168.51.186	TCP
192.168.50.243	192.168.55.255	NBNS
192.168.49.133	239.255.255.250	SSDP
fe80::c422:e8cd:87a0:62ca	ff02::1:ff1a:31a5	ICMPv6
192.168.50.17	192.168.55.255	NBNS
192.168.49.90	192.168.55.255	NBNS
Alcatel-_f2:c5:88	Broadcast	ARP
192.168.49.85	192.168.55.255	NBNS
fe80::18a:f265:e246:c4b4	ff02::1:3	LLMNR
192.168.49.74	224.0.0.252	LLMNR
fe80::20af:2c66:9a64:10e1	ff02::1:3	LLMNR
fe80::18a:f265:e246:c4b4	ff02::1:3	LLMNR
192.168.49.74	224.0.0.252	LLMNR
192.168.50.243	192.168.55.255	NBNS
192.168.49.74	192.168.55.255	NBNS
		
192.168.50.243	192.168.55.255	NBNS
192.168.49.118	239.255.255.250	SSDP
192.168.49.82	192.168.55.255	NBNS
192.168.50.243	192.168.55.255	NBNS
192.168.49.120	239.255.255.250	SSDP
192.168.49.90	192.168.55.255	NBNS
192.168.49.129	239.255.255.250	SSDP
192.168.49.74	239.255.255.250	SSDP
HewlettP_46:6d:36	Broadcast	ARP
192.168.49.82	192.168.55.255	NBNS
192.168.49.82	192.168.55.255	NBNS
192.168.50.243	192.168.55.255	NBNS
fe80::a4c7:2386:5384:24ea	ff02::1:3	LLMNR
192.168.50.250	239.255.255.250	SSDP
192.168.49.90	192.168.55.255	NBNS
192.168.49.120	239.255.255.250	SSDP
192.168.49.129	239.255.255.250	SSDP
192.168.51.139	239.255.255.250	SSDP
192.168.49.82	192.168.55.255	NBNS
192.168.49.82	192.168.55.255	NBNS
192.168.50.243	192.168.55.255	NBNS
192.168.49.90	192.168.55.255	NBNS
fe80::c422:e8cd:87a0:62ca	ff02::1:ff1a:31a5	ICMPv6
fe80::a4c7:2386:5384:24ea	ff02::1:3	LLMNR
ZyxelCom_6f:1d:e7	Broadcast	0x8899
HewlettP_a3:4a:b7	Broadcast	ARP
192.168.50.91	192.168.55.255	BROWSER
HewlettP_46:6d:36	Broadcast	ARP
192.168.49.120	239.255.255.250	SSDP
192.168.49.85	255.255.255.255	UDP
192.168.49.129	239.255.255.250	SSDP
HewlettP_c1:13:50	Broadcast	ARP
HewlettP_c1:13:50	Broadcast	ARP
192.168.50.243	192.168.55.255	NBNS
192.168.49.82	224.0.0.252	LLMNR
fe80::c422:e8cd:87a0:62ca	ff02::1:ff1a:31a5	ICMPv6
192.168.49.90	224.0.0.252	LLMNR
fda8:6c3:ce53:a890::9	ff02::1:ff00:1	ICMPv6
192.168.49.90	192.168.55.255	NBNS
HewlettP_c1:13:50	Broadcast	ARP
HewlettP_c1:13:50	Broadcast	ARP
192.168.50.243	192.168.55.255	NBNS
192.168.49.120	239.255.255.250	SSDP
192.168.49.129	239.255.255.250	SSDP
fe80::c422:e8cd:87a0:62ca	ff02::1:ff1a:31a5	ICMPv6
192.168.49.82	224.0.0.252	LLMNR
fda8:6c3:ce53:a890::9	ff02::1:ff00:1	ICMPv6
Alcatel-_f2:c5:88	Broadcast	ARP
192.168.49.90	192.168.55.255	NBNS
HewlettP_a3:4a:b7	Broadcast	ARP
192.168.49.98	239.255.255.250	SSDP
ZyxelCom_6f:1d:e7	Broadcast	0x8899
192.168.50.243	192.168.55.255	NBNS
172.217.161.14	192.168.54.135	TLSv1.2
172.217.161.14	192.168.54.135	TCP
192.168.54.135	172.217.161.14	TCP
192.168.49.90	224.0.0.252	LLMNR
172.217.161.14	192.168.54.135	TCP
192.168.54.135	172.217.161.14	TCP
172.217.161.14	192.168.54.135	TCP
192.168.0.1	239.255.255.250	SSDP
192.168.49.90	192.168.55.255	NBNS
192.168.0.1	239.255.255.250	SSDP
192.168.49.98	239.255.255.250	SSDP
192.168.0.1	239.255.255.250	SSDP
192.168.50.243	192.168.55.255	NBNS
HewlettP_46:6d:36	Broadcast	ARP
192.168.49.74	239.255.255.250	SSDP
192.168.0.1	239.255.255.250	SSDP
192.168.0.1	239.255.255.250	SSDP
192.168.0.1	239.255.255.250	SSDP
fe80::75de:c0d8:e978:5f2a	ff02::1:3	LLMNR
192.168.49.236	224.0.0.252	LLMNR
192.168.49.90	224.0.0.252	LLMNR
192.168.0.1	239.255.255.250	SSDP
192.168.49.90	224.0.0.252	LLMNR
fe80::75de:c0d8:e978:5f2a	ff02::1:3	LLMNR
192.168.49.236	224.0.0.252	LLMNR
fe80::a4c7:2386:5384:24ea	ff02::1:3	LLMNR
192.168.0.1	239.255.255.250	SSDP
192.168.0.1	239.255.255.250	SSDP
192.168.49.80	239.255.255.250	SSDP
HewlettP_c1:13:50	Broadcast	ARP
HewlettP_c1:13:50	Broadcast	ARP
192.168.49.90	192.168.55.255	NBNS
192.168.49.236	192.168.55.255	NBNS
192.168.0.1	239.255.255.250	SSDP
192.168.50.243	192.168.55.255	NBNS
HewlettP_46:6d:36	Broadcast	ARP
fe80::a4c7:2386:5384:24ea	ff02::1:3	LLMNR
192.168.49.98	239.255.255.250	SSDP
ZyxelCom_6f:1d:e7	Broadcast	0x8899
fe80::c422:e8cd:87a0:62ca	ff02::1:ff1a:31a5	ICMPv6
HewlettP_9d:c0:da	Broadcast	ARP
192.168.49.82	224.0.0.252	LLMNR
192.168.49.62	239.255.255.250	SSDP
192.168.49.82	224.0.0.252	LLMNR
192.168.49.90	224.0.0.252	LLMNR
HewlettP_46:6d:36	Broadcast	ARP
fe80::18a:f265:e246:c4b4	ff02::1:2	DHCPv6
192.168.49.82	192.168.55.255	NBNS
192.168.49.82	192.168.55.255	NBNS
192.168.49.90	192.168.55.255	NBNS
192.168.50.203	192.168.55.255	DB-LSP-DISC
ZyxelCom_6f:1d:e7	Broadcast	0x8899
192.168.49.80	255.255.255.255	DHCP
HewlettP_46:6d:36	Broadcast	ARP
192.168.50.243	192.168.55.255	NBNS
192.168.50.250	239.255.255.250	SSDP
192.168.49.118	239.255.255.250	SSDP
192.168.51.139	224.0.0.2	IGMPv2
192.168.0.1	224.0.0.253	IGMPv2
192.168.51.139	224.0.0.2	IGMPv2
192.168.0.1	224.0.0.253	IGMPv2
fe80::cc74:46fb:9b62:ccd9	ff02::16	ICMPv6
fe80::cc74:46fb:9b62:ccd9	ff02::16	ICMPv6
192.168.49.82	192.168.55.255	NBNS
192.168.49.90	192.168.55.255	NBNS
192.168.49.82	192.168.55.255	NBNS
fe80::cc74:46fb:9b62:ccd9	ff02::16	ICMPv6
192.168.51.139	224.0.0.251	IGMPv2
192.168.51.139	224.0.0.252	IGMPv2
fe80::cc74:46fb:9b62:ccd9	ff02::1:3	LLMNR
192.168.51.139	224.0.0.252	LLMNR
fe80::cc74:46fb:9b62:ccd9	ff02::16	ICMPv6
192.168.51.139	224.0.0.2	IGMPv2
192.168.0.1	224.0.0.251	IGMPv2
fe80::cc74:46fb:9b62:ccd9	ff02::16	ICMPv6
fe80::f50f:701:876b:ddd4	ff02::1:ff57:264b	ICMPv6
192.168.51.139	224.0.0.251	IGMPv2
192.168.51.139	224.0.0.2	IGMPv2
192.168.0.1	224.0.0.251	IGMPv2
192.168.49.62	224.0.0.251	IGMPv2
192.168.49.74	239.255.255.250	SSDP
192.168.51.139	239.255.255.250	SSDP
192.168.49.90	192.168.55.255	NBNS
fe80::15c4:15fd:316b:b096	ff02::1:2	DHCPv6
192.168.51.139	224.0.0.252	IGMPv2
fe80::cc74:46fb:9b62:ccd9	ff02::16	ICMPv6
192.168.49.90	255.255.255.255	DB-LSP-DISC
Alcatel-_f2:c5:88	Broadcast	ARP
192.168.50.243	192.168.55.255	NBNS
HewlettP_46:6d:36	Broadcast	ARP
fe80::cc74:46fb:9b62:ccd9	ff02::1:3	LLMNR
192.168.51.139	224.0.0.252	LLMNR
192.168.53.76	224.0.0.251	IGMPv2
fe80::5193:63ba:40b:594e	ff02::1:2	DHCPv6
192.168.49.82	192.168.55.255	NBNS
192.168.49.82	192.168.55.255	NBNS
192.168.49.90	192.168.55.255	NBNS
192.168.49.90	192.168.55.255	DB-LSP-DISC
fe80::cc74:46fb:9b62:ccd9	ff02::16	ICMPv6
192.168.51.139	224.0.0.2	IGMPv2
fe80::cc74:46fb:9b62:ccd9	ff02::16	ICMPv6
fe80::cc74:46fb:9b62:ccd9	ff02::16	ICMPv6
192.168.51.139	224.0.0.252	IGMPv2
192.168.0.1	224.0.0.252	IGMPv2
fe80::cc74:46fb:9b62:ccd9	ff02::1:3	LLMNR
192.168.51.139	224.0.0.252	LLMNR
192.168.51.139	224.0.0.2	IGMPv2
192.168.49.84	224.0.0.252	IGMPv2
192.168.49.129	192.168.55.255	BROWSER
192.168.0.1	224.0.0.252	IGMPv2
192.168.49.174	224.0.0.252	IGMPv2
192.168.49.74	239.255.255.250	SSDP
192.168.50.243	192.168.55.255	NBNS
HewlettP_46:6d:36	Broadcast	ARP
fe80::cc74:46fb:9b62:ccd9	ff02::1:3	LLMNR
192.168.51.139	224.0.0.252	LLMNR
ZyxelCom_6f:1d:e7	Broadcast	0x8899
fe80::a4c7:2386:5384:24ea	ff02::1:3	LLMNR
fe80::a4c7:2386:5384:24ea	ff02::1:3	LLMNR
192.168.50.243	192.168.55.255	NBNS
192.168.49.82	224.0.0.252	LLMNR
192.168.49.82	224.0.0.252	LLMNR
192.168.49.90	224.0.0.252	LLMNR
192.168.49.118	255.255.255.255	DHCP
